,date,top_50_trends
0,2019-01-01,[]
1,2019-01-02,"['chelsea', 'assa2019', 'misskoreajisooday', 'nxtuk', 'iwanttobelievebut', 'nationalsciencefictionday', 'survivingrkelly', 'nextchat', 'bouwat', 'thetalk', 'selfieforseb', 'newmun', 'whatdadwarnedmeabout', 'vatican', 'aapl', 'willian', 'caramel chocolate chip', 'bb-8', ""i don't hate women candidates"", 'james harrison', 'eddie jackson', 'line 5', ""mike d'antoni"", 'david corley', 'soviet union', '115th congress', 'guaynabo', 'mourinho', 'uncle tom', 'southampton', 'jim margraff', 'morata', 'paygo', 'jake tapper', 'rashford', 'birdboxchallenge', 'mark loretta', 'tim cook', 'moneyin3words', 'blake nordstrom', 'wednesdaywisdom', 'firstlineoftrumpsbiography', 'mean gene', 'bob einstein']"
2,2019-01-03,"['imlettinggo', 'feartwd', 'chase', 'nbaallstar', 'jumanji', 'danny ainge', 'laporte', 'bol bol', 'the 36', 'san clemente', 'john stones', 'fabinho', 'lex luthor', 'eddie jackson', 'shaqiri', 'guardiola', 'trey gowdy', 'sané', 'ederson', 'jordan fuller', 'national border patrol council', 'firmino', 'real madrid', 'pursuit', 'klopp', 'bernardo silva', 'firstthingididin2019', 'shammond cooper', 'david robertson', 'kompany', 'ltrainshutdown', 'recordbreakingpromise', 'sterling', 'jim webb', 'leroy sane', 'ed burke', 'r kelly', 'aguero', 'herb kelleher', 'alexandria ocasio-cortez', 'mciliv', 'liverpool', 'nancy pelosi', 'themaskedsinger', 'startrekdiscovery', 'roar24', 'seek2019', 'savpak', 'wildcardweekend', '2newsam']"
3,2019-01-04,"['thingsiwoulddoforfree', 'lettertobae', 'minaxbeyonce', 'kevinhart', 'usavsrus', 'facup', 'wingedmusic', 'kindafunnyday2019', 'crew96', 'aftertheholidaysi', 'dumbo', 'usawjc', 'flashbackfriday', 'survivingsju', 'grigori denisenko', 'mina markham', 'uss cole', 'the help', 'jk rowling', 'daca', 'tranmere', 'months or even years', 'toby fox', 'tate martell', 'sheldon brookbank', 'julian love', 'kravtsov', 'harry kane', 'grupo de lima', 'luke ford', 'ellie', 'matpat', 'national emergency', 'riley ridley', 'jay gruden', 'hogan', 'elijah holyfield', 'mecole hardman', 'trumpshutown', 'isaac nauta', 'carmen sandiego', 'all-pro', 'brett brown', 'rose garden', 'nationalroastday', 'hundreds of tsa', 'whymycityisspecial', 'nationaltriviaday', 'jimmy butler', 'impeachthemf']"
4,2019-01-05,"['houvsind', 'swaggyvsfessy', 'caturday', 'lamescandals', 'fcschampionship', 'saturdaythoughts', 'sjubb', 'playoffs', 'wildcardsaturday', 'nationalscreenwritersday', 'nationalbirdday', 'theonethingiknow', 'namestarwarsepisodeix', 'ruinabandnamewithoneletter', 'shamorie ponds', 'damn houston', 'oline', 'romeo crennel', 't.y.', 'j.j. watt', 'nrg stadium', 'jonathan joseph', 'afc south', 'kyle guy', 'brandon dunn', 'booger mcfarland', 'shareece wright', 'return of the mack', 'dontrelle inman', 'justin reid', 'kenny moore', 'deshaun', 'clowney', 'hopkins', 'marlon mack', 'jason witten', 'ebron', ""bill o'brien"", 'jj watt', 'wildcardweekend', 'frank reich', 'ty hilton', 'watson', 'nflplayoffs', 'askmeek', 'nflwildcard', 'andrew luck', 'indvshou', 'colts', 'texans']"
5,2019-01-06,"['sundayfunday', 'chivsphi', 'mumbledduringthestaffmeeting', 'anotheryearstillqueer', 'everythingwegot', 'balvslac', 'goldenglobes', 'fightforeachother', 'jordan poole', 'okung', 'trey burton', 'eddie jackson', 'soldier field', 'pats', 'anthony lynn', 'bear down', 'gordon', 'leonard floyd', 'khalil mack', 'ray lewis', 'mike williams', 'trubisky', 'brian urlacher', ""that's a td"", 'antonio gates', 'dick butkus', 'mizzell', 'melvin ingram', 'michael bennett', 'justin tucker', 'crabtree', 'tony romo', 'new england', 'sproles', 'foles', 'alshon', 'boltup', 'smallwood', 'rivers', 'roquan smith', 'harbaugh', 'beardown', 'bears', 'phivschi', 'flyeaglesfly', 'lacvsbal', 'chargers', 'ravens', 'flacco', 'lamar jackson']"
6,2019-01-07,"['deadlinewh', 'idleg', 'baristasongs', 'hellisreal', 'facupdraw', 'startuphealth', 'inaugurationday', 'dontwatchdonald', 'musicmonday', 'motivationmonday', 'cyntoniabrown', 'gettingfitagainstarterpack', 'exclusiveespn', 'cfpnationalchampionship', 'mondaythoughts', 'mondaymood', 'boycotttrumpsaddress', 'julian assange', 'hoever', 'lovren', 'mark keenum', 'dave bautista', 'jeff hafley', 'tom rukavina', 'moreno', 'dallas morning news', 'greg schiano', 'zack moss', 'master p', 'origi', 'player of the week', 'abel tasman', 'jack morrison', 'kelvin herrera', 'neves', 'david wright', 'greg mattison', 'blizzard', 'bill haslam', 'gavin newsom', 'governor', 'james saxon', 'thebachelor', 'kliff kingsbury', 'wolliv', '5wordresolution', 'mondaymotivation', 'nationalbobbleheadday', 'soldier 76', 'cyntoia brown']"
7,2019-01-08,"['funniness', 'thfc', 'dlnchat', 'myinspirationin3words', 'mnleg', 'updatebackgroundchecks', 'carabaocup', 'askrichardrankin', 'whenicantdecideonsomething', 'traveltuesday', 'grin', 'smirk', 'manafort', 'txlege', 'jungkookday', 'cardinals', 'ewgc', 'trumpaddress', 'prosecutors say', 'bryan cranston', 'giroud', 'trump tower', 'freddie kitchens', 'alonso', 'nfc west', 'kj hill', 'league play', 'kamala harris', 'joshua tree national park', 'sonic forces', 'margot robbie', 'jared polis', 'taco tuesday', 'willian', 'bonnaroo', 'konstantin kilimnik', 'savage life', 'sears', 'rosen', 'harry kane', 'sean mcvay', 'arizona cardinals', 'david bowie', 'nevergonnafallfor', 'totche', 'paul manafort', 'tuesdaythoughts', 'portfolioday', 'kliff kingsbury', 'boycotttrumpprimetime']"
8,2019-01-09,"['selfieforseb', 'carabaocup', 'nextchat', 'andydeluca', 'wellnesswednesday', 'starwarsresistance', 'twchats', 'kbtribechat', 'favetourphotographer', 'protectourcare', 'piggysmallz', 'wallpaperwednesday', 'mancity', 'cutestpet', 'myteenspiritsmelledlike', 'nationallawenforcementday', 'mcibur', 'wednesdaythoughts', 'ineedadoctorsnotefor', 'brandon mebane', 'johnny sauter', 'situation room', 'the promised neverland', 'gms racing', 'skydance', 'the art of the deal', 'gabriel jesus', 'matt rhule', 'cyn santana', 'andrew wheeler', 'adam silver', 'ben kotwica', 'joe philbin', 'todd bowles', 'mackenzie bezos', 'rj hunter', 'burton', 'john lasseter', 'fema', 'gregg williams', 'vic fangio', 'freddie kitchens', 'mark murphy', 'iheartawards', 'tom steyer', 'wednesdaywisdom', 'thelieswealltellourselves', 'jeff bezos', 'lawenforcementappreciationday', 'thetitleofmytedtalk']"
9,2019-01-10,"['travelocitycabosweepstakes', 'thesopranos', '7rings', 'endtheshutdownnow', 'captainnemoshowedme', 'grishaverse', 'cohen', 'tomorrow_x_together', 'nightslikethis', 'sopranos20', 'iamnonbinary', 'nwsldraft', 'wordofwisdomfromchildren', 'mpatuo', 'demi-leigh nel-peters', 'ozzie alonso', 'mr. cohen', 'senate democrats', '12 republicans', 'eddie gran', 'shadow and bone', 'new research finds', 'kehlani', 'mark dantonio', '7 rings', 'valverde', 'levante', 'six of crows', 'eric decosta', 'former trump', 'velvet buzzsaw', 'davos', 'art rooney ii', 'miss universe', 'josh gattis', 'stoptheshutdown', 'tathan', 'mcallen', 'cabudget', 'waystostayforeveryoung', 'condimentmovies', 'house oversight committee', 'steve king', 'thursdaythoughts', 'tate martell', 'destiny', 'bungie', 'tim tebow', 'activision', 'michael cohen']"
